,channel,rmse
0,8,0.9051290216064196
1,7,0.6282582713396521
2,6,0.8412117295954843
3,5,0.8660994492275579
4,4,0.6535833765204708
5,3,1.0283113602142016
6,2,0.9146958447014333
7,1,0.9674879380356046
